term,estimate,std.error,statistic,p.value
(Intercept),0.8705931608247433,0.02492778539131293,34.924609112213226,9.528311781635386e-175
batch1,-0.08215497450606772,0.013578380919070364,-6.050424936207521,2.0471531894863732e-9
batch3,-0.1464226734912558,0.014230569024684845,-10.289305595388763,1.1677370724469866e-23
batch4,-0.07434793340978947,0.01416974672212245,-5.246948648257354,1.8918632340417929e-7
batch5,0.06709456761097239,0.014050263945712217,4.775324354774698,2.0651870108212673e-6
prot1,0.0017096356769152892,0.014840211464641028,0.1152029188390439,0.9083076700988412
prot2,-2.573066710354866e-4,4.331383751916259e-4,-0.5940518914345811,0.552613258973673
seasonAutumn,-0.07060935812060852,0.01181518511526124,-5.976153351114661,3.185551674554216e-9
seasonSummer,-0.40699189504794603,0.012917907361157329,-31.506023666938823,1.999270499750273e-151
seasonWinter,-0.15343689528983104,0.013048486750212517,-11.758980043209382,5.6604946045411954e-30
cov1,0.00865593979155218,0.014487735720755604,0.59746670966336,0.5503325925849997
