id,batch,exp1,exp2,exp3,prot1,prot2,season,exp4,cov1
id8,1,1.22925099690535,2.88779888466437,<LOD,-0.009549749786977604,31.354481111159643,Autumn,3.22925099690535,-0.12223898548154906
id14,1,4.17231182471364,3.9394983990565,<LOD,-0.3823791658529739,47.39000928043659,Summer,3.17231182471364,-0.042519366801993856
id16,1,3.55763803500625,1.75607103905869,0.561280432909913,-0.5932535280705106,43.815175673636006,Summer,2.55763803500625,0.005900652320419603
id17,1,2.25789439366093,<LOD,<LOD,-0.19531901626871767,41.45146868504685,Spring,5.25789439366093,0.3308396766760442
id22,1,6.92484889235359,1.46692222224359,0.853212096159328,-0.06349861180511966,68.25540131417941,Spring,9.92484889235359,0.03442278726079944
id25,1,4.96218477666339,1.39213028969762,<LOD,0.3605599635681223,43.87649509918279,Summer,3.96218477666339,0.24190494867803014
id31,1,3.38245824091154,1.43783196997874,0.430493800662116,-0.16303267853468786,55.56701363282759,Autumn,5.38245824091154,0.5128011355335206
id32,1,3.47409544944226,1.42577783954276,<LOD,-0.5707237867020298,69.38423467577404,Autumn,5.47409544944226,-0.15621322793827622
id39,1,2.35410078804347,3.65283351130329,0.495964655174998,-0.3386304937749213,50.397972434479236,Spring,5.35410078804347,0.21815759290440526
id46,1,4.64762904210009,1.20868031070202,0.549583484637253,-0.06386194787076996,47.93048465101341,Summer,3.64762904210009,-0.1751567193782619
id47,1,NA,NA,NA,-0.12523419701189983,29.177076035355604,Autumn,7.05943053319812,-0.5740769495111209
id49,1,<LOD,1.35576028501344,0.411404802542681,0.13915934517908327,61.43553595910809,Autumn,2.83770320198739,-0.41652822256638045
id51,1,4.42988149141675,<LOD,0.404300632385463,-0.40981861302126293,50.704217255703384,Spring,7.42988149141675,-6.4918542413078e-5
id56,1,2.64663344770295,<LOD,0.442783456381769,0.1374416510214421,56.94485083117633,Autumn,4.64663344770295,0.25239282606602
id58,1,<LOD,4.80073366745882,0.76045550164516,0.47524412884111433,51.15760832363044,Winter,2.05335891932367,0.042301308944707725
id64,1,3.41010420121873,<LOD,0.619054066073817,-0.2690595930300606,45.58400628710643,Spring,6.41010420121873,0.1684667590408687
id66,1,2.15776124717389,1.63058522800839,1.20761948504586,0.7728849083226018,56.83291371240923,Winter,3.15776124717389,0.6009714076662691
id67,1,2.89643894982346,2.54532165010229,0.4586374807643,-0.07239227384918474,51.94940273317241,Spring,5.89643894982346,-0.48073501634290877
id70,1,1.43439591797852,<LOD,0.611513748045478,-0.14865733992492533,49.84216275886983,Spring,4.43439591797852,0.5075579602814551
id86,1,2.81471210705632,1.60938932756046,<LOD,0.1908929927182596,58.94726168727865,Autumn,4.81471210705632,0.23965177217774009
id89,1,5.26309788982459,2.42919675423064,1.04534139993503,0.18271035744942501,52.391128074306124,Summer,4.26309788982459,0.1567114565009039
id103,1,5.07339713357708,1.73175987282063,<LOD,0.37679543814559563,42.72421659103712,Autumn,7.07339713357708,-0.04532200191072284
id105,1,3.31686815252607,1.20217632247638,0.503544907202472,0.11091310808506431,56.304825096038435,Autumn,5.31686815252607,0.1374583032302303
id111,1,NA,NA,NA,-0.1781707471526961,61.42578913227134,Winter,6.48584060983375,0.45818797788951093
id113,1,4.71485384606853,3.42642355282171,0.469321114168205,0.2070442743478132,53.151024534185865,Spring,7.71485384606853,0.0750440751977113
id121,1,2.6152569224588,2.45250765187821,0.557415338636566,0.6946739372781608,58.21610414270035,Autumn,4.6152569224588,0.4603093854625589
id126,1,4.78413162254608,1.6433520258292,1.0632670985802,0.38805582831814306,42.65180579751457,Winter,5.78413162254608,0.1386949323329299
id132,1,3.46974352365967,2.84724958087047,0.459551420301117,-0.005364713687860386,66.59117422025635,Summer,2.46974352365967,-0.056405950663700063
id140,1,2.56916627003394,1.58896033032831,0.628975989117794,-0.41058692363346655,62.434148430153414,Spring,5.56916627003394,-0.002985715434499626
id142,1,7.24403952812404,3.60225718518169,0.518008053316713,0.20587091952464745,59.64074779785041,Spring,10.244039528124,0.3214507677926185
id146,1,4.61863413258335,<LOD,0.42279654254974,0.12564785465981848,37.29613729169375,Autumn,6.61863413258335,-0.387292997200316
id153,1,4.29476445087638,7.09157249587845,<LOD,0.5292366962195424,34.97080636654534,Winter,5.29476445087638,0.05814909600088229
id154,1,2.20147946956858,<LOD,<LOD,-0.5458910720037011,44.50941708659505,Autumn,4.20147946956858,0.11594404846770656
id163,1,5.37113821955039,3.61323574710665,1.18691871070555,-0.06933142359105005,47.02741259397068,Summer,4.37113821955039,0.27852880574789124
id166,1,2.37987933475179,5.00075167127429,0.612430099029652,-0.16114989417018566,48.58120444991727,Spring,5.37987933475179,-0.43429878039934344
